Newcastle	Newcastle	-32.92715	151.77647	AU	308308
Nerang	Nerang	-27.98941	153.33633	AU	16256
Narre Warren	Narre Warren	-38.03333	145.3	AU	25882
Narangba	Narangba	-27.20338	152.95923	AU	16223
Mulgrave	Mulgrave	-37.91667	145.2	AU	17647
Mount Martha	Mount Martha	-38.26667	145.01667	AU	17087
Mount Gambier	Mount Gambier	-37.8318	140.77919	AU	23209
Mount Eliza	Mount Eliza	-38.18333	145.08333	AU	17248
Mosman	Mosman	-33.83902	151.23956	AU	26236
Mornington	Mornington	-38.21792	145.03876	AU	22421
Morayfield	Morayfield	-27.10876	152.94907	AU	18020
Moe	Moe	-38.17828	146.26099	AU	15582
Mill Park	Mill Park	-37.66667	145.06667	AU	30517
Mildura	Mildura	-34.18551	142.16251	AU	30016
Melton	Melton	-37.68339	144.58543	AU	35490
Melbourne	Melbourne	-37.814	144.96332	AU	4246375
Maryborough	Maryborough	-25.54073	152.70493	AU	21501
Marrickville	Marrickville	-33.90318	151.15176	AU	23161
Maroubra	Maroubra	-33.95	151.23333	AU	26538
Maitland	Maitland	-32.73308	151.5574	AU	67132
Mackay	Mackay	-21.15345	149.16554	AU	74219
Liverpool	Liverpool	-33.9	150.93333	AU	21317
Lismore	Lismore	-28.81354	153.2773	AU	30086
Lilydale	Lilydale	-37.75	145.35	AU	15649
Launceston	Launceston	-41.43876	147.13467	AU	106153
Lara	Lara	-38.02388	144.40617	AU	15520
